Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
HDFC Bank,"Mumbai, Maharashtra, India",Active,For Profit,22,13,,2,,,"Financial Services, Lending and Investments","Banking, Financial Services",,IPO,,,,,,,,,,,,,1,"66,257,807","94,143,788.5",424,,,,
Quiet Capital,"San Francisco, California, United States",Active,,89,17,10,4,,,"Financial Services, Information Technology, Lending and Investments","Financial Services, Impact Investing, IT Infrastructure, Venture Capital",,,,,,,,,,,,,,,,6.203,5.425,0,,,,
REA Group,"Melbourne, Victoria, Australia",Active,For Profit,5,5,,3,,,"Content and Publishing, Media and Entertainment",News,1,IPO,5/8/2020,149000000,USD,149000000,Post-IPO Debt,,,,,149000000,USD,149000000,1,36.569,"24,519.67",82,,,,
Kaiser Permanente,"Oakland, California, United States",Active,Non-profit,21,3,2,1,,,"Health Care, Other","Health Care, Hospital, Non Profit",2,,7/17/2018,82700,USD,82700,Grant,,,,,7482700,USD,7482700,4,,,,251137,USD,251137,
Runa Capital,"Palo Alto, California, United States",Active,,137,65,5,19,,,"Financial Services, Lending and Investments","Finance, Venture Capital",1,Early Stage Venture,9/22/2021,250000,USD,250000,Series A,Series A,250000,USD,250000,250000,USD,250000,1,12.946,"6,080.33",168,,,,
Manulife Financial,"Toronto, Ontario, Canada",Active,For Profit,14,3,,6,,,Financial Services,"Finance, Financial Services",1,IPO,3/14/2022,750000000,USD,750000000,Post-IPO Debt,,,,,750000000,USD,750000000,4,"1,819,061","1,741,906.5",556,33097,USD,33097,
Moglix,"Singapore, Central Region, Singapore",Active,For Profit,1,1,,,10,19,"Commerce and Shopping, Manufacturing, Mobile, Other","B2B, E-Commerce, Industrial, Marketplace, Mobile",8,Late Stage Venture,1/27/2022,250000000,USD,250000000,Series F,Series F,250000000,USD,250000000,472208452,USD,472208452,,"1,420,840","1,830,086.33",401,,,,"Tiger Global Management, Accel, Jungle Ventures, Bessemer Venture Partners, Sequoia Capital India"
Molten Ventures,"London, England, United Kingdom",Active,For Profit,183,79,5,43,2,2,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",4,IPO,10/2/2020,110000000,GBP,142290567,Post-IPO Equity,Post-IPO Equity,110000000,GBP,142290567,205564407,USD,205564407,3,14.222,"8,590.17",314,,,,"Silicon Valley Bank, Ireland Strategic Investment Fund"
Ping An,"Shenzhen, Guangdong, China",Active,For Profit,26,15,,9,,,"Financial Services, Health Care, Lending and Investments","Banking, Financial Services, Insurance, Medical",1,IPO,12/1/2014,4750000000,USD,4750000000,Post-IPO Equity,Post-IPO Equity,4750000000,USD,4750000000,4750000000,USD,4750000000,5,133.079,"88,365.33",814,,,,
MDI Ventures,"Jakarta, Jakarta Raya, Indonesia",Active,,80,37,1,10,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,Early Stage Venture,6/7/2017,8000000,USD,8000000,Series B,Series B,8000000,USD,8000000,8000000,USD,8000000,,1.288,"2,861.67",607,,,,
Paradigm,"San Francisco, California, United States",Active,,73,47,4,5,,,"Financial Services, Lending and Investments, Other, Payments, Software","Blockchain, Cryptocurrency, Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,128.056,"121,006.33",535,,,,
Operator Partners,"New York, New York, United States",Active,,115,,12,2,,,"Financial Services, Professional Services","Business Development, Finance, Financial Services",,,,,,,,,,,,,,,,,,,,,,
PLDT,"Makati, Manila, Philippines",Active,For Profit,6,2,,3,1,2,"Hardware, Mobile","Mobile, Telecommunications",2,,2/27/2020,1000000,USD,1000000,Grant,Venture - Series Unknown,,,,1000000,USD,1000000,,,,,,,,"Wavemaker Partners, U.S. Trade and Development Agency"
Route,"Lehi, Utah, United States",Active,For Profit,,,,,3,17,"Apps, Commerce and Shopping, Mobile, Other, Software, Transportation","Apps, E-Commerce, Mobile Apps, Real Time, Shipping",8,,3/18/2022,233401440,USD,233401440,Venture - Series Unknown,Venture - Series Unknown,233401440,USD,233401440,481931279,USD,481931279,1,"21,237,195","4,124,438.33",299,,,,"Pattern, 75 & Sunny, Craft Ventures, FJ Labs, Goldcrest Capital"
Rev.com,"San Francisco, California, United States",Active,For Profit,,,,,1,4,"Apps, Artificial Intelligence, Data and Analytics, Mobile, Science and Engineering, Software","Artificial Intelligence, Developer APIs, Mobile Apps, Software, Speech Recognition",4,Late Stage Venture,7/1/2017,5900000,USD,5900000,Series D,Series D,5900000,USD,5900000,30500000,USD,30500000,2,"7,494,733","5,194,490.17",1.421,174357,USD,174357,"Bessemer Venture Partners, Globespan Capital Partners, Craig Sherman, Austin Ligon"
OneValley,"San Mateo, California, United States",Active,For Profit,8,3,1,,2,3,"Community and Lifestyle, Financial Services, Information Technology, Internet Services, Lending and Investments, Professional Services, Real Estate","Communities, Consulting, Coworking, Incubators, Information Technology, Innovation Management, Internet, Venture Capital",6,Early Stage Venture,12/31/2019,,,,Series B,Series B,,,,17000000,USD,17000000,11,20.004,"18,222.67",555,,,,"Brand Capital International, SuRo Capital, HMC Capital"
Ripio,"San Francisco, California, United States",Active,For Profit,1,,1,,4,29,"Financial Services, Mobile, Payments, Software","Bitcoin, Finance, FinTech, Lending, Mobile Payments, Payments",12,Early Stage Venture,9/20/2021,50000000,USD,50000000,Series B,Series B,50000000,USD,50000000,94449592,USD,94449592,4,259.097,"417,071.17",508,,,,"Broslyn Capital, Digital Currency Group, FundersClub, Draper Associates, Pantera Capital"
Inflection Point Ventures,"Gurgaon, Haryana, India",Active,,107,74,,3,,,"Financial Services, Lending and Investments, Professional Services","Business Development, Financial Services, Venture Capital",,,,,,,,,,,,,,,38,10.815,"10,654.17",96,,,,
L Catterton,"Greenwich, Connecticut, United States",Active,,123,82,27,25,,,"Financial Services, Lending and Investments, Other","Financial Services, Professional Services, Venture Capital",,,,,,,,,,,,,,,,31.151,"15,278.17",242,6503,USD,6503,
Latitud,"SÃ£o Paulo, Sao Paulo, Brazil",Active,For Profit,25,,1,,2,19,"Financial Services, Lending and Investments",Venture Capital,2,Seed,2/28/2022,11500000,USD,11500000,Seed,Seed,11500000,USD,11500000,11500000,USD,11500000,,2.698,"3,939.67",11,,,,"Endeavor, Andreessen Horowitz, Canary, FJ Labs, NFX"
Sabre Corporation,"Southlake, Texas, United States",Active,For Profit,3,,,1,,4,"Events, Information Technology, Media and Entertainment, Software, Transportation, Travel and Tourism","Information Services, Information Technology, SaaS, Software, Ticketing, Tourism, Transportation, Travel",1,M&A,4/17/2020,1100000000,USD,1100000000,Post-IPO Debt,,,,,1100000000,USD,1100000000,6,"1,938,679","2,793,072.83",699,200114999,USD,200114999,"Morgan Stanley, Goldman Sachs, Perella Weinberg Partners, BofA Securities"
MassVentures,"Boston, Massachusetts, United States",Active,,271,26,36,65,1,1,"Information Technology, Media and Entertainment, Privacy and Security","Information Technology, Media and Entertainment, Security",1,,9/16/2020,1000000,USD,1000000,Grant,,,,,1000000,USD,1000000,1,276,"2,109.5",0,909289,USD,909289,"US Department of Commerce, Economic Development Administation"
RA Capital Management,"Boston, Massachusetts, United States",Active,,284,95,38,136,,,"Biotechnology, Financial Services, Health Care, Science and Engineering","Finance, Financial Services, Life Science, Medical",,,,,,,,,,,,,,,,16.329,"8,008.67",79,9731,USD,9731,
Kima Ventures,"Paris, Ile-de-France, France",Active,,633,46,47,84,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,5.452,"6,488.67",24,,,,
S2G Ventures,"Chicago, Illinois, United States",Active,For Profit,116,41,30,5,,,"Agriculture and Farming, Financial Services, Food and Beverage, Lending and Investments","Agriculture, Financial Services, Food and Beverage, Venture Capital",,,,,,,,,,,,,,,,4.997,"9,236.83",118,,,,
Kalaari Capital,"Bangalore, Karnataka, India",Active,,204,87,1,27,,,Financial Services,Finance,,,,,,,,,,,,,,,,18.558,"14,556.67",57,,,,
JD.com,"Beijing, Beijing, China",Active,For Profit,93,51,,20,9,14,"Commerce and Shopping, Internet Services, Transportation","E-Commerce, Internet, Logistics, Marketplace, Retail, Wholesale",11,IPO,12/29/2021,2000000000,USD,2000000000,Post-IPO Debt,Post-IPO Equity,230000000,USD,230000000,5058000000,USD,5058000000,11,,,,,,,"Google, Hillhouse Capital Group, Tiger Global Management, Walmart, Sequoia Capital China"
Mubadala,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Active,For Profit,48,19,4,12,,,Financial Services,"Asset Management, Financial Services, FinTech",,,,,,,,,,,,,,,,62.365,"56,132.33",252,,,,
National Institutes of Health,"Bethesda, Maryland, United States",Active,,571,351,107,63,,,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device",1,,8/15/2017,5000000,USD,5000000,Grant,,,,,5000000,USD,5000000,,"303,598,218","281,764,664.33",707,28755,USD,28755,
Qualcomm Ventures,"San Diego, California, United States",Active,,462,112,23,119,,,"Financial Services, Lending and Investments, Professional Services","Business Development, Finance, Venture Capital",,,,,,,,,,,,,,,13,3.953,"2,654.5",0,,,,
October,"Paris, Ile-de-France, France",Active,For Profit,9,9,,6,3,19,"Commerce and Shopping, Financial Services, Lending and Investments, Other","Consumer Lending, Financial Services, FinTech, Marketplace, Small and Medium Businesses",6,,9/30/2020,258000000,EUR,302463672,Debt Financing,Undisclosed,37000000,USD,37000000,611915989,USD,611915989,,168.481,"150,819.17",676,,,,"Allianz, Partech, Intesa Sanpaolo, European Investment Bank, Idinvest Partners"
Northzone,"London, England, United Kingdom",Active,,246,99,12,44,,,"Financial Services, Lending and Investments, Professional Services","Business Development, Finance, FinTech, Venture Capital",,,,,,,,,,,,,,,,1.64,"7,806.17",18,,,,
Kingsway Capital,"London, England, United Kingdom",Active,For Profit,52,14,1,1,,,Financial Services,"Finance, Financial Services",,,,,,,,,,,,,,,,17.032,,81,12714187,USD,12714187,
RTP Global,"London, England, United Kingdom",Active,,164,42,,21,,,"Financial Services, Information Technology, Lending and Investments","Finance, FinTech, Information Technology, Venture Capital",,,,,,,,,,,,,,,2,8.341,"6,758.5",622,,,,
Lighter Capital,"Seattle, Washington, United States",Active,,320,125,33,45,1,7,"Financial Services, Lending and Investments","FinTech, Venture Capital",4,Early Stage Venture,7/26/2021,100000000,USD,100000000,Debt Financing,Series B,9000000,USD,9000000,116022000,USD,116022000,11,40.689,55.412,220,283749,USD,283749,"Credit Suisse, Silicon Valley Bank, i80 | Group, National Australia Bank (NAB), Voyager Capital"
OrbiMed,"New York, New York, United States",Active,,552,203,42,209,,,"Financial Services, Health Care, Lending and Investments","Angel Investment, Financial Services, Health Care",,,,,,,,,,,,,,,1,109.834,26.186,13,35958,USD,35958,
Quona Capital,"Washington, District of Columbia, United States",Active,,100,47,,4,,,"Financial Services, Lending and Investments","FinTech, Impact Investing, Venture Capital",,,,,,,,,,,,,,,,831,"4,129.33",63,,,,
Lighthouse Labs RVA,"Richmond, Virginia, United States",Active,,54,9,15,2,2,2,"Education, Financial Services, Information Technology, Lending and Investments, Software","EdTech, Information Technology, Software, Venture Capital",2,,12/20/2021,429000,USD,429000,Grant,,,,,1429000,USD,1429000,,2.511,"1,953.83",0,,,,"Activation Capital, GO Virginia"
Mercato,"San Diego, California, United States",Active,For Profit,,,,,3,22,"Commerce and Shopping, Food and Beverage","E-Commerce, Grocery, Marketplace",7,Early Stage Venture,4/8/2021,26000000,USD,26000000,Series A,Series A,26000000,USD,26000000,34700000,USD,34700000,,770.966,"549,253.33",783,,,,"Flucas Ventures, Correlation Ventures, Greycroft, Velvet Sea Ventures, 10X Capital"
Musha Ventures,"New York, New York, United States",Active,,101,2,8,10,,,"Financial Services, Lending and Investments","Angel Investment, Financial Services, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
Reliance Jio,"Mumbai, Maharashtra, India",Active,For Profit,3,3,,,15,36,"Apps, Consumer Electronics, Hardware, Information Technology, Internet Services, Software","Apps, Consumer Electronics, Electronics, Information Services, Information Technology, Internet, Telecommunications",17,,7/15/2020,3.37E+11,INR,4489237314,Corporate Round,Corporate Round,3.37E+11,INR,4489237314,24767620475,USD,24767620475,1,"16,843,748","21,165,805.5",447,,,,"Meta, Citi, Axis Bank, ICICI Bank, Silver Lake"
Ignition,"Surry Hills, New South Wales, Australia",Active,For Profit,,,,,5,12,"Financial Services, Professional Services, Software","Accounting, SaaS, Software",8,Late Stage Venture,11/17/2021,50000000,USD,50000000,Series C,Series C,50000000,USD,50000000,74397726,USD,74397726,3,237.76,,481,,,,"Tiger Global Management, JMI Equity, Real Ventures, CIBC, Right Click Capital"
Lightspeed Venture Partners,"Menlo Park, California, United States",Active,,1.134,373,141,204,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,32,39.412,"36,926.17",278,739798,USD,739798,
Griffin Gaming Partners,"Los Angeles, San Luis Potosi, Mexico",Active,,31,11,,3,,,"Financial Services, Gaming","Finance, Financial Services, Gaming",,,,,,,,,,,,,,,,10.796,"5,888.5",623,,,,
Grammarly,"San Francisco, California, United States",Active,For Profit,1,,,,3,8,"Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","Artificial Intelligence, Assistive Technology, Information Technology, Productivity Tools, Virtual Assistant",3,Private Equity,11/17/2021,200000000,USD,200000000,Private Equity,Private Equity,200000000,USD,200000000,400000000,USD,400000000,1,"80,984,359","82,401,374",619,2827074,USD,2827074,"Spark Capital, General Catalyst, BlackRock, Baillie Gifford, SignalFire"
RBC Capital,"Toronto, Ontario, Canada",Active,For Profit,46,12,1,15,,,"Financial Services, Lending and Investments","Banking, Financial Exchanges, Financial Services",5,IPO,6/19/2015,4086000,USD,4086000,Post-IPO Debt,,,,,23217000,USD,23217000,21,"17,686,842","21,441,708",255,,,,
K2,"Bellevue, Washington, United States",Closed,For Profit,2,,,1,2,6,"Apps, Information Technology, Internet Services, Software","Apps, Business Information Systems, Cloud Computing, Enterprise Applications, Software",4,M&A,10/14/2020,500000,USD,500000,Undisclosed,Undisclosed,500000,USD,500000,154371495,USD,154371495,21,"1,093,236","711,128.5",0,,,,"Francisco Partners, TA Associates, Thoma Bravo, FTV Capital, Azure Capital Partners"
Lithia Motors,"Medford, Oregon, United States",Active,For Profit,1,1,1,1,,,"Commerce and Shopping, Transportation","Automotive, Retail",1,M&A,12/13/2019,400000000,USD,400000000,Post-IPO Debt,,,,,400000000,USD,400000000,,57.902,"62,638.17",1.379,,,,
Oregon Venture Fund,"Portland, Oregon, United States",Active,For Profit,64,31,20,16,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",3,Private Equity,10/22/2020,1059250,USD,1059250,Private Equity,Private Equity,1059250,USD,1059250,10884250,USD,10884250,2,9.952,,42,,,,
Redpoint,"Menlo Park, California, United States",Active,,703,205,87,158,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,4,8.159,"7,736.83",12,368984,USD,368984,
Liquid 2 Ventures,"San Francisco, California, United States",Active,,304,8,58,24,,1,"Financial Services, Lending and Investments","Financial Exchanges, Impact Investing, Venture Capital",1,,3/1/2018,,,,Venture - Series Unknown,Venture - Series Unknown,,,,,,,,6.734,"4,702.83",0,,,,Mason Ng
LinkedIn,"Sunnyvale, California, United States",Active,For Profit,14,1,1,3,5,14,"Community and Lifestyle, Internet Services, Media and Entertainment, Professional Services","Professional Networking, Recruiting, Social Media, Social Recruiting",7,M&A,2/15/2016,,,,Post-IPO Equity,Post-IPO Equity,,,,154800000,USD,154800000,78,"1,152,353,448","864,415,408.67",773,,,,"SAP, Sequoia Capital, Goldman Sachs, Greylock, Tiger Global Management"
Mumbai Angels,"Mumbai, Maharashtra, India",Active,,182,99,4,25,,,Financial Services,Finance,,,,,,,,,,,,,,,,7.822,"4,586.17",18,,,,
Menlo Ventures,"San Francisco, California, United States",Active,,706,250,72,167,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,1,19.312,9.411,990,19222,USD,19222,
Legend Capital,"Beijing, Beijing, China",Active,For Profit,370,159,1,35,,,"Financial Services, Software","Enterprise Software, Financial Services",,,,,,,,,,,,,,,,2.521,,4,,,,
International Finance Corporation,"Washington, District of Columbia, United States",Active,,311,159,10,65,,,"Financial Services, Lending and Investments","Finance, Financial Services, Funding Platform, Hedge Funds",,,,,,,,,,,,,,,9,378.756,304.632,342,24702899,USD,24702899,
Protocol Labs,"San Francisco, California, United States",Active,For Profit,33,6,1,0,1,18,"Information Technology, Internet Services, Privacy and Security, Software","Information Technology, Internet, Network Security, Privacy, Software",5,,9/16/2017,,,,Venture - Series Unknown,Venture - Series Unknown,,,,10920000,USD,10920000,4,69.198,"26,094.67",601,,,,"Digital Currency Group, Sequoia Capital, Andreessen Horowitz, FundersClub, Union Square Ventures"
Index Ventures,"San Francisco, California, United States",Active,,1.046,403,115,224,,,"Financial Services, Information Technology, Lending and Investments, Privacy and Security","Angel Investment, Cyber Security, Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,10,25.324,"33,924.83",154,,,,
HOF Capital,"New York, New York, United States",Active,,97,10,9,4,,,"Financial Services, Lending and Investments",Venture Capital,,,,,,,,,,,,,,,,6.482,"4,190.5",53,,,,
Northstar,"West Hollywood, California, United States",Active,For Profit,,,,,2,18,"Administrative Services, Financial Services, Health Care","Employee Benefits, Financial Services, FinTech, Human Resources",3,Early Stage Venture,11/17/2020,7300000,USD,7300000,Series A,Series A,7300000,USD,7300000,10750000,USD,10750000,,9.899,"9,412.83",181,,,,"M13, RRE Ventures, Scott Belsky, Foundation Capital, Weekend Fund"
Gradient Ventures,"Mountain View, California, United States",Active,,141,69,36,13,,,"Financial Services, Lending and Investments","Angel Investment, Finance, Venture Capital",,,,,,,,,,,,,,,,7.023,"6,867.33",54,,,,
Outbound Ventures,"New York, New York, United States",Active,,46,1,20,3,,,"Financial Services, Lending and Investments",Venture Capital,,,,,,,,,,,,,,,,,,,,,,
ICICI Lombard General Insurance,"Mumbai, Maharashtra, India",Active,For Profit,2,,,1,,,Financial Services,"Health Insurance, Insurance, Life Insurance",1,IPO,6/19/2020,22500000000,INR,295073260,Post-IPO Secondary,,,,,22500000000,INR,295073260,,"2,320,356","2,249,126.83",1.072,,,,
Human Capital,"San Francisco, California, United States",Active,,75,15,14,3,,,"Financial Services, Lending and Investments","Financial Services, Impact Investing, Venture Capital",,,,,,,,,,,,,,,,11.103,,73,,,,
Jungle Ventures,"Singapore, Central Region, Singapore",Active,,104,49,1,13,,,"Financial Services, Lending and Investments, Media and Entertainment","FinTech, Media and Entertainment, Venture Capital",,,,,,,,,,,,,,,6,1.753,"2,413.67",15,,,,
Realogy Holdings,"Madison, New Jersey, United States",Active,For Profit,2,1,,,,,Real Estate,"Commercial Real Estate, Property Management, Real Estate",1,M&A,1/5/2022,1000000000,USD,1000000000,Post-IPO Debt,,,,,1000000000,USD,1000000000,,77.137,"55,929.33",396,39230553,USD,39230553,
Oak HC/FT,"Greenwich, Connecticut, United States",Active,,123,68,25,17,,,"Financial Services, Lending and Investments","Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,7,7.59,"4,651.83",340,161551,USD,161551,
responsAbility,"ZÃ¼rich, Zurich, Switzerland",Active,For Profit,32,20,,3,3,3,Financial Services,"Asset Management, Finance, Financial Services",1,M&A,7/30/2019,175000000,USD,175000000,Debt Financing,,,,,175000000,USD,175000000,1,12.152,"8,665.5",32,,,,"OPIC - Overseas Private Investment Corporation, Calvert Impact Capital, Alecta"
HNA Group,"Haikou, Hainan, China",Active,For Profit,11,8,,6,3,7,"Financial Services, Real Estate, Science and Engineering, Transportation, Travel and Tourism","Aerospace, Finance, Logistics, Real Estate, Travel",3,Early Stage Venture,12/2/2019,4000000000,CNY,568238319,Debt Financing,Series B,82000000,USD,82000000,3830545855,USD,3830545855,1,27.755,"10,405.67",88,,,,"Agricultural Bank of China, Industrial and Commercial Bank of China, China Construction Bank, China CITIC Bank, Bank of Communications"
LD Capital,"Shanghai, Shanghai, China",Active,For Profit,98,10,3,,,,"Financial Services, Information Technology, Internet Services, Other","Blockchain, Finance, FinTech, Information Technology, Internet",,,,,,,,,,,,,,,,8.017,"6,150.33",2.307,,,,
Outlier Ventures,"London, England, United Kingdom",Active,For Profit,78,20,,1,,,"Financial Services, Gaming, Information Technology, Internet Services, Other, Software","Blockchain, Financial Services, FinTech, Gaming, Information Technology, Internet, Software",,,,,,,,,,,,,,,1,222.879,"67,031.83",189,,,,
Insignia Ventures Partners,"Singapore, Central Region, Singapore",Active,For Profit,96,43,,2,,,"Financial Services, Lending and Investments","Financial Services, Impact Investing, Venture Capital",,,,,,,,,,,,,,,,18.63,"9,450.67",51,,,,
OMERS Ventures,"Toronto, Ontario, Canada",Active,,125,69,7,15,,,"Financial Services, Lending and Investments",Venture Capital,,,,,,,,,,,,,,,,6.899,"4,927.5",0,,,,
Qiming Venture Partners,"Shanghai, Shanghai, China",Active,,765,408,13,65,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,1,6.377,"4,434.83",21,,,,
Perella Weinberg Partners,"New York, New York, United States",Active,,6,1,,4,,3,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,IPO,6/25/2021,125000000,USD,125000000,Post-IPO Equity,Post-IPO Equity,125000000,USD,125000000,125000000,USD,125000000,,25.769,"25,829.83",551,46972,USD,46972,"Fidelity Management and Research Company, Wellington Management, Korea Asset Investment Securities"
Precursor Ventures,"San Francisco, California, United States",Active,,209,33,136,16,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,1,19.143,"10,132.33",71,,,,
Graph Ventures,"Palo Alto, California, United States",Active,,127,3,30,24,,,"Apps, Education, Financial Services, Other, Software","Apps, B2B, Blockchain, Consumer, Developer Tools, Education, FinTech",,,,,,,,,,,,,,,,,,,,,,
Nexus Venture Partners,"Menlo Park, California, United States",Active,,299,128,19,37,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,15.494,10.815,250,,,,
Lennar Corporation,"Miami, Florida, United States",Active,For Profit,18,8,7,5,,1,"Community and Lifestyle, Real Estate","Construction, Lifestyle, Real Estate",1,IPO,1/2/2014,30000000,USD,30000000,Post-IPO Debt,,,,,30000000,USD,30000000,,"2,225,999","2,427,053",560,299147501,USD,299147501,East West Bank
IOSG Ventures,"Hong Kong, Hong Kong Island, Hong Kong",Active,,110,14,4,,,,,,,,,,,,,,,,,,,,1,3.736,"6,961.5",8,,,,
Makers Fund,,Active,,78,41,9,9,,,"Financial Services, Gaming, Lending and Investments","Finance, Financial Services, Gaming, Venture Capital",,,,,,,,,,,,,,,,10.123,"6,353.33",1.203,,,,
Next Coast Ventures,"Austin, Texas, United States",Active,,76,24,18,9,1,1,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,,4/26/2017,,,,Venture - Series Unknown,Venture - Series Unknown,,,,,,,,8.727,3.157,34,,,,Renaissance Venture Capital
Paragon,"Los Angeles, California, United States",Active,For Profit,,,,,1,8,"Data and Analytics, Hardware, Information Technology, Software","Data Center Automation, Data Integration, Developer APIs, Productivity Tools, SaaS, Software",2,Seed,7/28/2020,2500000,USD,2500000,Seed,Seed,2500000,USD,2500000,2650000,USD,2650000,,7.423,"4,021.33",7,,,,"FundersClub, Edward Lando, Y Combinator, Global Founders Capital, Soma Capital"
Payhawk,"London, England, United Kingdom",Active,For Profit,,,,,5,18,"Financial Services, Payments, Software","Financial Services, FinTech, Payments, Software",6,Early Stage Venture,3/1/2022,100000000,USD,100000000,Series B,Series B,100000000,USD,100000000,239068940,USD,239068940,,92.294,"28,017.67",264,,,,"Earlybird Venture Capital, QED Investors, Lightspeed Venture Partners, Endeavor Catalyst, Greenoaks Capital"
Hummingbird Ventures,"Gent, Oost-Vlaanderen, Belgium",Active,,88,20,,10,,,"Biotechnology, Financial Services, Health Care, Lending and Investments, Science and Engineering","Finance, Financial Services, Life Science, Therapeutics, Venture Capital",,,,,,,,,,,,,,,,6.869,"2,128.5",22,,,,
Monashees,"SÃ£o Paulo, Sao Paulo, Brazil",Active,,210,73,3,25,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
Lemniscap,"Hong Kong, Hong Kong Island, Hong Kong",Active,,62,12,3,1,,,"Financial Services, Lending and Investments, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, Ethereum, Hedge Funds, Venture Capital",,,,,,,,,,,,,,,10,867,2.777,2,,,,
Nintendo,"Redmond, Washington, United States",Active,For Profit,4,1,,1,,,"Consumer Electronics, Gaming, Hardware, Mobile","Consumer Electronics, Gaming, Mobile, Video Games",,,,,,,,,,,,,,,10,"90,989,082","77,661,049.17",392,,,,
Horizons Ventures,"Hong Kong, Hong Kong Island, Hong Kong",Active,,289,127,29,41,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,4.118,"10,107.5",0,,,,
Oman Technology Fund,"Muscat, Masqat, Oman",Active,,35,9,,2,1,1,,,1,Seed,3/10/2020,100000,USD,100000,Pre-Seed,Pre-Seed,100000,USD,100000,100000,USD,100000,,,,,,,,Queno
InnoVen Capital,"Mumbai, Maharashtra, India",Active,,196,144,2,33,,,Financial Services,"Finance, FinTech",,M&A,,,,,,,,,,,,,,2.875,,857,,,,
Level Equity Management,"New York, New York, United States",Active,,75,58,11,23,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,5.745,"5,251.5",309,159722,USD,159722,
Holmes Murphy & Associates,"Waukee, Iowa, United States",Active,For Profit,5,,,,,,"Administrative Services, Financial Services, Health Care, Professional Services","Employee Benefits, Insurance, Risk Management",1,,6/3/2019,11328210,USD,11328210,Venture - Series Unknown,Venture - Series Unknown,11328210,USD,11328210,11328210,USD,11328210,,12.768,"7,347.67",159,,,,
ICONIUM,"Milan, Lombardia, Italy",Active,For Profit,20,,,,,,"Financial Services, Other, Payments, Software","Asset Management, Blockchain, Cryptocurrency",1,Seed,11/7/2018,5000000,EUR,5716376,Seed,Seed,5000000,EUR,5716376,5000000,EUR,5716376,,138,,0,,,,
Haystack,"San Francisco, California, United States",Active,,151,6,38,26,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,5.647,"3,383.33",0,,,,
Khosla Ventures,"Menlo Park, California, United States",Active,,1.008,351,181,140,,,"Financial Services, Lending and Investments, Professional Services","Business Development, Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,51.539,"23,938.83",46,1173080,USD,1173080,
Jump Capital,"Chicago, Illinois, United States",Active,,186,59,25,26,,,"Financial Services, Information Technology, Media and Entertainment, Other, Payments, Software","B2B, Cryptocurrency, Digital Media, FinTech, IT Infrastructure, SaaS",,,,,,,,,,,,,,,,10.347,8.625,254,,,,
